SL NO	name	book ID	author	price	status	language	category	PUBLICATION
62	COMMON ERRORS IN ENGLISH	ENG61	JOICE P.JOSE	100	Available	English	English	SHARUN BOOKS
63	THE IMP[ORTANCE OF PATIENCE IN THE QURAN	ENG62	HARUN YAHYA	160	Available	English	English	GOOD WORD BOOKS
64	IN QUEST OF TRUTH	ENG63	SHIFA L.MUSTHFA	200	Available	English	English	GOOD WORD MEDIA
65	MYSTICAL DIMENSIONS OF ISLAM	ENG64	SCHIMMEL	500	Available	English	English	ISLAMIC BOOK TRUST
66	ENDLESS BLISS	ENG65	HUSAIN HILMI	200	Available	English	English	HAKIKATH KITHABEVI
67	SACRIFICE	ENG66	MUFTHI SYED ZAINUDEEN	100	Available	English	English	ABDHUL HASANAATH ISLAMIC RESURCH CENTRE
68	RELATIONS WITH NON- MUSLIMS	ENG67	MUFTHI SYED ZAINUDEEN	100	Available	English	English	ABDHUL HASANAATH ISLAMIC RESURCH CENTRE
69	THE QURAN	ENG69	SAHEEH	290	Available	English	English	ABDHUL HASANAATH ISLAMIC RESURCH CENTRE
70	A GUIDE FOR YOUTH	ENG70	SAID NURSI	120	Available	English	English	BARLA
71	COLIN DEXTER	ENG71	NICHOLAS QUINN	300	Available	English 	English	PAN BOOKS
72	NEW MOON	ENG72	STEPHENIE MEYER	800	Available	English	English	ATOM
73	WOMAN IN ISLAM	ENG73	DR. SHERIF	100	Available	English	English	CONVEYING ISLAMIC MASSAGE SOCIETY
76	AROUND THE WORLD IN 80 DAYS	ENG76	JULES VERNE	160	Available	English	English	LITTLE SCHOLARZ PVT LTD
77	20000 LEAGUES UNDER THE SEA	ENG77	JULES VERNE	160	Available	English	English	LITTLE SCHOLARZ PVT LTD
78	MOBY DICK	ENG78	HERMAN MELVILLE	160	Available	English	English	LITTLE SCHOLARZ PVT LTD
79	THE WIZARD OF OZ	ENG79	L.FRANK BAUM	160	Available	English	English	LITTLE SCHOLARZ PVT LTD
80	MIDDLEMARCH	ENG80	GEORGE ELIOT	450	Available	English	English	PENGUIN POPULAR CLASSICS
81	FAR FROM THE MADDING CROWD	ENG81	THOMAS HARDY	160	Available	English	English	LITTLE SCHOLARZ PVT LTD
82	THE ORIGIN OF SPECIES	ENG82	CHARLES DARWIN	300	Available	English	English	GOYAL PUBLISHERS & DOSTRIBUTION
84	THE HOST	ENG84	STEPHENIE MEYER	200	Available	English	English	SPHERE
85	ECLIPSE	ENG85	STEPHENIE MEYER	200	Available	English	English	ATOM
86	SENSE AND SENSIBILITY	ENG86	JANE AUSTAN	160	Available	English	English	LITTLE SCHOLARZ PVT LTD
87	AN INTRODUCTION TO ISLAMIC FINANCE	ENG87	MUHAMMAD TAQI USAMANI	320	Available	English	English	ADAM PUBLISHERS & DISTRIBUTORS
88	ISLAM BETWEEN EAST AND WEST	ENG88	ALIJA IZATBEGOVICH	450	Available	English	English	ISLAMIC BOOK TRUST
89	A LITERARY HISTORY OF THE ARABS	ENG89	R.A.NICHOLSON	500	Available	English	English	ADAM PUBLISHERS & DISTRIBUTORS
90	ORIGIN AND EARLY HISTORY OF THE MUSLIMS OF KERALAM	ENG90	JBP	700	Available	English	English	OTHER BOOKS
91	KERALA MUSLIM HISTORY A REVISIT	ENG91	K.M BAHAUDDIN	600	Available	English	English	OTHER BOOKS
92	MAPPILA MUSLIMS	ENG92	DR.HUSIN RANDATHANI	360	Available	English	English	OTHER BOOKS
93	TUHFAT AL-MUJAHIDIN	ENG93	SHAIKH ZAINUDEEN	250	Available	English	English	ISLAMIC BOOK TRUST
94	EDUCATIONAL EMPOWERMENT OF KERALA MUSLIMS	ENG94	U.MUHAMMED	400	Available	English	English	OTHER BOOKS
95	HOW LIFE ON EARTH IS AFFECTEDBY EARTH	ENG95	M.MONIER	300	Available	English	English	THE ROSEN PUBILSHING GROUP
96	LITTLE WOMEN	ENG96	LOUISA MAY ALCOTT	160	Available	English	English	LITTLE SCHOLARZ PVT LTD
97	HOW TO BE TRUE MUSLIM	ENG97	SAYED ASAD Gilani	300	Available	English	English	ADAM PUBLISHERS & DISTRIBUTORS
98	PRINCIPLES OF SUFISM	ENG98	AL-QUSHAYRI	400	Available	English	English	ISLAMIC BOOK TRUST
99	ISLAM AND BUDDISM IN THE MODERN WORLD	ENG99	IMRAN NAZAR HOSEIN	200	Available	English	English	MASJID DAR AL -QURAN LONG ISLAND NEW YORK
100	ISLAMIC SYSTEM OF JUSTICEG	ENG100	ABDUL QADIR AUDAH SHAHEED	120	Available	English	English	MARKAZI MAKTABA ISLAMI PUBLISHERS
101	MORAL VALUE OF THE QURAN	ENG101	HARUN YAHYA	180	Available	English	English	GOOD WORD BOOKS
102	BANKING WITHOUT INTEREST	ENG102	MUHAMMED NAJATHULLAH SIDDIQI	200	Available	English	English	LITTLE SCHOLARZ PVT LTD
103	GREAT EXPECTATIONS	ENG103	CHARLES DICKENS	160	Available	English	English	MARKAZI MAKTABA ISLAMI PUBLISHERS NEW DELHI- 25
104	JOHN ADAIR EFFECTIVE	ENG104	RUPA AND CO.	190	Available	English	English	RUPA & CO.
105	THE MAN IN THE IRON MASK	ENG105	ALEXANDRE DUMAS	160	Available	English	English	LITTLE SCHOLARZ PVT LTD
106	PRINCE AND THE PAUPER	ENG106	MARK TWAIN	160	Available	English	English	LITTLE SCHOLARZ PVT LTD
107	ELEMTARY STATISTICS	ENG107	WINDOW TEAM	150	Available	English	English	MBD BOOKS
108	DIALOGUE WITH AN ATHEIST	ENG108	DR. MANEA H. AL HAZMI	100	Available	English	English	CONVEYING ISLAMIC MESSAGE SOCIETY
109	501 FASCINATING FACTS	ENG109	PUSTAK MAHAL	150	Available	English	English	OTHER BOOKS
110	FATH AL MUBIN	ENG110	QADI MUHAMMED	400	Available	English	English	PUSTAK MAHAL
111	THE INNER JOY OF RELATIONSHIPS	ENG111	MUEENUDEEN BIN MAHMOOD	500	Available	English	English	RENAISSANCE BOOKS
112	ISLAM PEACE OF MIND SERIES	ENG112	MUEENUDEEN BIN MAHMOOD	400	Available	English	English	RENAISSANCE BOOKS
113	WALKING UP OF WOMANHOOD	ENG113	MUEENUDEEN BIN MAHMOOD	500	Available	English	English	RENAISSANCE BOOKS
114	PEARLS OF PEACE	ENG114	MUEENUDEEN BIN MAHMOOD	180	Available	English	English	LITTLE SCHOLARZ PVT LTD
115	THE THREE MUSKETEERS	ENG115	ALEXANDER DUMAS	160	Available	English	English	LITTLE SCHOLARZ PVT LTD
116	A TALE OF TEO CITIES	ENG116	CHARLES DISCKENS	160	Available	English	English	OTHER BOOKS
117	9/11 THE PRESENT	ENG117	N.M HUSAIN	600	Available	English	English	OTHER BOOKS
118	THE OUTCAST PRINCE	ENG118	FOLKTALES	400	Available	English	English	DC BOOKS
119	TAHRID	ENG119	DR. K.M. MOHAMED	250	Available	English	English	OTHER BOOKS
120	ISLAM FOR YOU	ENG120	SYED HAMID MOHSIN	300	Available	English	English	SALAM CENTER
121	109 PROVERBS EXPANDED	ENG121	SUKMARAN P.K	100	Available	English	English	HEC BOOKS
122	THE BAGAVAD-GITA	ENG122	RAMANANDA PRASADH	100	Available	English	English	GITA 4 FREE
123	QASEEDATHUL BURDHA	ENG123	MDS BOOKS	100	Available	English	English	MDS BOOKS
124	WORSHIP IN OUTER SPACE AND POLAR REGIONS	ENG124	BASHEER FAIZY	100	Available	English	English	MDS BOOKS
125	DISTINGUISHED THOUGHTS ON ISLAM	ENG125	BAHEER FAIZY	130	Available	English	English	MDS BOOKS
126	DAY NIGTS OF MUSLIM	ENG126	BAHEER FAIZY	130	Available	English	English	CONVEYING ISLAMIC MESSAGE SOCIETY
127	EXPLAINING THE FUNDAMENTALS OF FAITH	ENG127	IMAM MUHAMMED IBNU SAALIH	200	Available	English	English	LITTLE SCHOLARZ PVT LTD
128	BLACK BEATY	ENG128	ANNA SEWELL	160	Available	English	English	IBT BOOKS
129	LANGUAGE AND MAGIC	ENG129	TOSHIHIKO IZUTSU	200	Available	English	English	OTHER BOOKS
130	JUG OF LOVE	ENG130	HAZRAT IMAM KHOMEINI	150	Available	English 	English	OTHER BOOKS
131	MYSTIC MIST	ENG131	ABU ILHAM	500	Available	English	English	OTHER BOOKS
132	IBN KALDUN	ENG132	MUHAMMAD ABDHULLAH	250	Available	English	English	IBT BOOKS
133	HAGAR	ENG133	AHMAD MUHAMMEDI	200	Available	English	English	OTHER BOOKS
134	THE ROAD TO MECCA	ENG134	MUHAMMED ASAD	300	Available	English	English	INTERNATIONAL ISLAMIC PUBLISHING HOUSE
135	YOU CAN BE HAPPIEST WOMAN IN THE WORLD	ENG135	DR.AID AL-QARNI	360	Available	English	English	INTERNATIONAL ISLAMIC PUBLISHING HOUSE
136	DON'T BE SAD	ENG136	AAIDH IBN ADDULAH AL-QARNI	520	Available	English	English	PENGUIN BOOKS
137	ORIENTALISM	ENG137	EDWARD W.SAID	1,000	Available	English	English	OTHER BOOKS
138	THE SOUL OF THE SECRET	ENG138	OMAR O THASNEEM	520	Available	English	English	OTHER BOOKS
140	SAHODARAN AYYAPPAN	ENG140	D.R AJAY SEKHER	790	Available	English	English	GITA 4 FREE
141	THE BHAGAVAD-GITA	ENG141	HARRY BHALLA	100	Available	English	English	RED ROSE PUBLICATION HOUSE
142	THE THREE MUSKETEERS	ENG142	ALEXANDRE DUMAS	160	Available	English	English	PUFFIN BOOKS
143	TIMELESS STORIES FOR BOYS, AND THOSE WHO REMAIN BOYS AT HEART	ENG143	PARO ANAND	300	Available	English	English	A R BOOKS
144	THE ARABIAN NIGHTS	ENG144	MOHAMMAD YASIN OWADALLY	160	Available	English	English	SHARON BOOKS
145	SPEECHES & COMPOSITIONS	ENG145	SHARON BOOKS	100	Available	English	English	OTHER BOOKS
146	HOMAGE TO THE DEPARTED	ENG146	MANJULA POYIL	920	Available	English	English	OTHER BOOKS
147	NINE DECADES OF MARXISM IN THE LAND OF BRAHMINSM	ENG147	S.K BISWAS	280	Available	English	English	ADAM PUBLICATION
148	ISLAM AND ORIENTALISM	ENG148	MARYAM JAMEELAH	320	Available	English	English	ARROW PUBLICATION
150	CHRIS RYAN	ENG150	RANDOM GROUP	560	Available	English	English	DARUSSALAM
152	WHEN THE MOON SPLIT	ENG152	RAHMAN MUBARAKPUR	400	Available	English	English	OTHER BOOKS
153	IBN MAJID	ENG153	DR. SULTHAN BIN MUHAMMED	650	Available	English	English	OTHER BOOKS
154	WHY I AM NOT AN AMERICAN	ENG154	MALCOLM	50	Available	English	English	OTHER BOOKS
155	MUHAMMED THE MESSENGER OF ALLAH	ENG155	ABDURRAHMAN AL-SHEHA	200	Available	English	English	CONVEYING ISLAMIC MESSAGE SOCIETY
156	TARZAN OF THE APES	ENG156	EDGER RICE	160	Available	English	English	RED ROSE PUBLICATION
157	THE BOOK OF INNER PEACE	ENG157	MUEENUDEEN BIN MAHMOOD	200	Available	English	English	RENAISSANCE BOOKS
158	ESSAYS ON CURRENT TOPICS	ENG158	S.SARASWATHI	200	Available	English	English	OTHER BOOKS
159	THE BOOK OF ASSISTANCE	ENG159	IMAM ABDHULLAH	200	Available	English	English	DAR AL FAQIH PUBLICATION
160	THE BOOK OF ASSISTANCE	ENG160	IMAM ABDHULLAH	200	Available	English	English	DAR AL FAQIH PUBLICATION
161	THE BOOK OF ASSISTANCE	ENG161	IMAM ABDHULLAH	200	Available	English	English	DAR AL FAQIH PUBLICATION
162	THE BOOK OF ASSISTANCE	ENG162	IMAM ABDHULLAH	200	Available	English	English	DAR AL FAQIH PUBLICATION
163	SALAAT	ENG163	ABDUL SHAHEED	300	Available	English	English	KCF PUBLISHER
164	SALAAT	ENG164	ABDUL SHAHEED	300	Available	English	English	KCF PUBLISHER
165	SALAAT	ENG165	ABDUL SHAHEED	300	Available	English	English	KCF PUBLISHER
166	TREASURE ISLAND	ENG166	ROBERT LOUIS	160	Available	English	English	RED ROSE PUBLICATION
168	AL- KHUTOOT	ENG168	MOHIBBUDEEN	120	Available	English	English	RED ROSE PUBLICATION
169	A CHRISTMAS CAROL	ENG169	CHARLES DICKENS	160	Available	English	English	CONVEYING ISLAMIC MESSAGE SOCIETY
170	THE ADVENTURESOF SHERLOCK HOLMES	ENG170	ARTHUR CONEN	160	Available	English	English	RED ROSE PUBLICATION
172	GULLIVER'S TRAVELS	ENG172	JONATHEN SWIFT	160	Available	English	English	RED ROSE PUBLICATION
173	THE ADVENTURES OF ROBIN HOOD	ENG173	HOWERD PYLE	160	Available	English	English	LITTLE SCHOLARZ PVT LTD
175	ARABIAN STORIES	ENG175	BEENA GORGE	180	Available	English	English	LITTLE SCHOLARZ PVT LTD
176	CLASSIC ADVENTURE STORIES	ENG176	TOM SAWYER	180	Available	English	English	HEC BOOKS
177	JATAKA TALES	ENG177	JAINCE	140	Available	English	English	HEC BOOKS
179	FAIRY TALES	ENG179	JAINC PUBLISHERS	140	Available	English	English	JANIC PUBLISHER
185	FOLK TALES OF INDIA	ENG185	JAINCE	140	Available	English	English	JANIC PUBLISHER
181	MULLA NASSERUDDIN	ENG181	JAINC PUBLISHER	140	Available	English	English	JANIC PUBLISHER
187	KABIR AND THE SILVER SPOON	ENG187	VINITA SRIMAL GARG	400	Available	English	English	MANGO BOOKS
188	TRUE ESCAPE STORIES	ENG188	PAUL DOWSWELL	130	Available	English	English	USBORNE BOOKS
189	THE ADVENTURES OF HUCKLEBERRY FINN	ENG189	MARK TWAIN	120	Available	English	English	DC BOOKS
190	RAINBOW GIRL	ENG190	CHERY RAO	250	Available	English	English	MANGO BOOKS
	TENALI RAMA	ENG191	JAINC PUBLISHER 	140	Available	English 	English	JANIC PUBLISHER
192	THE JUNGLE BOOK	ENG192	JAINC PUBLISHERS	140	Available	English	English	JANIC PUBLISHER
193	FAIRY TALES	ENG193	JAINCE	140	Available	English	English	JANIC PUBLISHER
194	THE SEA WITHIN	ENG194	GORGE ONAKKOOR	400	Available	English	English	CURRENT BOOKS
195	MOTHER AND MOTHER FLASH STORIES	ENG195	P.K PARAKADAVU	100	Available	English	English	BOOK PLUS
196	FAR FROM THE MADDING CROWD	ENG196	THOMAS HARDY	160	Available	English	English	LITTLE SCHOLARZ PVT LTD
197	PRETTY PETALS	ENG197	MUHAMMED TH DARIMI	240	Available	English	English	BOOK PLUS
198	ESSENTIAL VOCAB	ENG198	DR. ABDUL LATHEEF V	200	Available	English	English	BOOK PLUS
199	MEAL IN THE DESERT	ENG199	NIZAR BABU HUDAWI	200	Available	English	English	KIDS PLUS
200	A VALLEY OF ANIMALS	ENG200	NIZAM BABU HUDAWI	200	Available	English	English	KIDS PLUS
201	THE SWEET REVENGE	ENG201	NIZAR BABU HUDAWI	200	Available	English	English	KIDS PLUS
202	THE MASKED SOLDIER	ENG202	NIZAR BABU HUDAWI	160	Available	English	English	KIDS PLUS
203	THE OCEAN OF MERCY	ENG203	HASHIM PAKARA	160	Available	English	English	KIDS PLUS
204	AN ORDINARY CALIPH	ENG204	NIZAR BABU HUDAWI	200	Available	English	English	KIDS PLUS
205	A VALLEY OF ANIMALS	ENG205	NIZAR BABU HUDAWI	200	Available	English	English	KIDS PLUS
206	THE LOST CAMELS	ENG206	NIZAM BABU HUDAWI	200	Available	English	English	KIDS PLUS
207	AN UNWANTED TREASURE	ENG207	HASHIM PAKARA	100	Available	English	English	KIDS PLUS
208	BE NOT A CAGED BIRD	ENG208	SHASMEER ALI HUDAWI	160	Available	English	English	KIDS PLUS
209	ANGEL AND SATAN	ENG209	DR. JAHFAR SADIQ	200	Available	English	English	KIDS PLUS
210	A LIFE THAT MATTERS	ENG210	NORANI NORDIN	200	Available	English	English	ISLAMIC BOOK TRUST
211	TINKLE DOUBLE DIGEST	ENG211	---	100	Available	English	English	ISLAMIC BOOK TRUST
212	PEACEFUL PARENTING	ENG212	MUEENUDHEEN BIN MAHMOOD	150	Available	English	English	A COLLECTERS DELIGHT
213	SPELTICS	ENG213	N.A RASHEED	100	Available	English	English	RENAISSANCE BOOKS
214	QURANIC PICTURES OF THE UNIVERSE	ENG214	OSMAN BAKAR	250	Available	English	English	TREND BOOKS
215	UNITED AGAIST EXTREMISM	ENG215	SYED HAMID MUHSIN	100	Available	English	English	IBT
216	PATIENCE	ENG216	MUEENUDHEEN BIN MAHMOOD	140	Available	English	English	SAALAM CENTRE
217	AYYANKALI	ENG217	M. NISAR & MEENA KANDASAMY	150	Available	English	English	RENAISSANCE BOOKS
218	HIJAB, THE COMPLETE PROTECTION FOR WOMEN	ENG218	MUFTI SYED ZIADDIN NAQSHBANDI QADRI	100	Available	English	English	ABDUL HASSAN ISLAMIC CENTRE
219	WOMEN IN ISLAM	ENG219	M. MAZHERUDDIN SIDDIQI	160	Available	English	English	ADAM PUBLISHERS
220	A TEXTBOOK OF ENGLISH PHONETICS FOR INDIAN STUDENT	ENG220	T. BALASUBRAMANIAN	160	Available	English	English	MACMILLAN INDIA LIMITED
221	LONDON BRIDGE	ENG221	JAMES PATTERSON	633	Available	English	English	INTERNATIONAL BEST SELLER
222	MACBETH	ENG222	SHAKESPEARE	160	Available	English	English	CALICUT UNIVERSITY
223	MUHAMMAD	ENG223	MARTIN LINGS	900	Available	English	English	OTHER BOOKS
